Colegio,Localidad,Estrato,Puntaje_Lenguaje,Puntaje_Matematicas,Puntaje_Ciencias,Puntaje_Sociales,Puntaje_Ingles,Acceso_Internet_Hogar_x,Repitente,Genero,Puntaje_Global,Poblacion_Total,Ingreso_Promedio,Indice_Pobreza,Tasa_Desempleo,Nivel_Educativo_Promedio,Cobertura_Salud,Indice_Calidad_Vida,Tasa_Asistencia,Horas_Estudio
Colegio_10,Fontibón,4,61.9,49.3,42.9,67.0,45.7,0,1,F,53.4,475856,2414409,10.7,7.7,9.3,88.8,61.6,76.4,9.8
Colegio_4,Fontibón,1,48.4,46.2,65.4,57.5,35.9,1,1,F,50.7,475856,2414409,10.7,7.7,9.3,88.8,61.6,78.0,8.0
Colegio_24,Antonio Nariño,4,52.1,46.7,59.5,79.3,51.9,1,1,M,57.9,179797,1489362,18.5,9.3,8.2,83.7,26.2,77.9,19.9
Colegio_2,Chapinero,3,52.7,72.2,74.7,64.4,49.3,0,0,F,62.6,153158,2764676,5.3,7.4,10.3,96.3,83.6,91.2,17.6
Colegio_29,Usaquén,1,50.5,60.6,50.6,30.0,55.2,1,1,M,49.4,342004,3238341,5.0,7.2,10.1,93.8,94.4,93.7,12.5
Colegio_25,Puente Aranda,4,64.2,48.8,69.0,63.0,54.8,0,0,F,60.0,246116,1732058,14.5,8.9,9.4,88.2,41.2,89.6,11.4
Colegio_31,Rafael Uribe Uribe,4,33.7,71.2,46.4,33.9,94.2,1,1,M,55.9,222600,1728859,20.1,7.0,8.9,84.2,37.8,99.1,12.4
Colegio_15,Usme,2,47.7,72.5,79.9,41.0,41.3,0,1,F,56.5,495408,1505279,18.8,9.0,9.8,86.0,41.1,84.4,4.0
Colegio_38,Teusaquillo,3,51.3,53.0,53.6,43.3,44.2,1,1,M,49.1,194327,2990383,5.1,7.0,10.5,94.4,90.1,82.1,7.9
Colegio_33,Chapinero,6,70.1,45.8,54.0,63.2,53.0,1,1,M,57.2,153158,2764676,5.3,7.4,10.3,96.3,83.6,96.7,0.8
Colegio_8,Chapinero,2,43.2,61.5,59.4,60.7,75.2,1,0,M,60.0,153158,2764676,5.3,7.4,10.3,96.3,83.6,80.6,9.5
Colegio_40,Kennedy,5,61.3,37.6,78.2,38.1,87.8,1,1,F,60.6,1011301,1855181,16.9,8.3,9.3,88.9,49.2,99.1,10.9
Colegio_16,Engativá,4,56.4,56.9,66.6,51.2,54.0,1,1,M,57.0,945826,2815166,9.2,8.6,10.2,91.6,85.3,75.3,4.6
Colegio_38,Teusaquillo,2,47.1,50.2,71.1,71.3,75.2,1,1,M,63.0,194327,2990383,5.1,7.0,10.5,94.4,90.1,99.2,19.3
Colegio_34,Los Mártires,3,79.9,34.1,66.8,58.5,35.9,1,0,F,55.1,324447,1274484,23.8,8.6,9.0,86.0,27.6,76.1,18.2
Colegio_6,La Candelaria,3,63.6,71.3,65.4,45.6,53.1,0,1,F,59.8,171142,1311336,23.8,11.6,9.2,84.1,30.3,97.3,14.4
Colegio_39,Usaquén,1,49.0,42.4,57.0,48.5,41.6,1,1,F,47.7,342004,3238341,5.0,7.2,10.1,93.8,94.4,88.2,10.7
Colegio_40,Rafael Uribe Uribe,4,69.2,26.9,47.3,60.6,72.5,1,1,F,55.3,222600,1728859,20.1,7.0,8.9,84.2,37.8,99.8,17.4
Colegio_23,Fontibón,1,55.5,51.7,71.8,58.3,59.6,0,1,F,59.4,475856,2414409,10.7,7.7,9.3,88.8,61.6,76.8,2.6
Colegio_21,Los Mártires,3,40.8,36.7,64.2,70.2,71.4,0,0,F,56.7,324447,1274484,23.8,8.6,9.0,86.0,27.6,88.8,15.8
Colegio_35,San Cristóbal,1,19.5,74.8,53.1,57.8,30.0,1,1,M,47.0,404902,1665631,20.3,10.8,9.1,86.7,40.2,99.2,2.5
Colegio_29,Ciudad Bolívar,4,62.8,47.2,44.5,44.1,73.3,1,1,F,54.4,633863,1673046,16.4,8.8,9.0,92.3,36.4,88.1,15.9
Colegio_35,Bosa,6,60.0,80.5,32.9,67.6,69.7,1,0,M,62.1,748890,1774895,15.5,7.8,9.2,86.0,44.0,90.7,5.5
Colegio_2,Santa Fe,1,44.4,32.2,42.4,64.6,60.8,0,1,M,48.9,339318,1479614,21.0,9.6,9.4,85.8,37.6,92.4,17.5
Colegio_33,Fontibón,5,37.2,81.4,44.0,78.4,49.2,1,1,F,58.0,475856,2414409,10.7,7.7,9.3,88.8,61.6,86.4,18.9
Colegio_26,Teusaquillo,4,46.1,52.2,55.6,67.8,48.6,1,0,M,54.0,194327,2990383,5.1,7.0,10.5,94.4,90.1,90.7,3.0
Colegio_32,Teusaquillo,3,48.8,49.7,39.5,53.6,68.8,1,1,F,52.1,194327,2990383,5.1,7.0,10.5,94.4,90.1,89.6,9.3
Colegio_18,Tunjuelito,2,60.5,52.7,43.3,65.1,39.9,1,0,F,52.3,270499,1603700,19.6,10.3,9.7,89.3,44.5,97.5,19.6
Colegio_34,Santa Fe,4,58.3,64.6,56.4,44.2,64.9,1,1,M,57.7,339318,1479614,21.0,9.6,9.4,85.8,37.6,76.1,9.7
Colegio_30,Sumapaz,4,50.1,43.8,63.5,52.6,58.4,1,1,F,53.7,344465,1626165,19.6,7.6,8.7,85.7,34.7,82.0,17.3
Colegio_23,Teusaquillo,4,34.1,64.6,29.7,65.2,50.9,1,1,F,48.9,194327,2990383,5.1,7.0,10.5,94.4,90.1,98.8,11.8
Colegio_20,Sumapaz,3,40.2,46.6,46.0,52.3,53.0,1,1,F,47.6,344465,1626165,19.6,7.6,8.7,85.7,34.7,97.3,7.5
Colegio_23,Tunjuelito,3,74.1,46.7,44.0,52.2,79.9,1,1,F,59.4,270499,1603700,19.6,10.3,9.7,89.3,44.5,86.4,5.7
Colegio_40,Fontibón,1,49.7,51.4,54.8,48.4,41.9,1,1,M,49.2,475856,2414409,10.7,7.7,9.3,88.8,61.6,90.5,4.1
Colegio_8,Bosa,3,69.9,63.2,70.9,48.7,62.4,1,1,M,63.0,748890,1774895,15.5,7.8,9.2,86.0,44.0,81.9,15.2
Colegio_14,Engativá,3,65.9,43.5,53.4,64.2,44.4,0,1,F,54.3,945826,2815166,9.2,8.6,10.2,91.6,85.3,79.7,7.7
Colegio_23,Kennedy,2,35.1,77.7,40.3,43.9,58.4,1,1,F,51.1,1011301,1855181,16.9,8.3,9.3,88.9,49.2,86.6,10.2
Colegio_14,Engativá,3,64.3,48.0,53.9,41.9,55.8,0,1,M,52.8,945826,2815166,9.2,8.6,10.2,91.6,85.3,83.8,9.8
Colegio_2,Usme,2,42.5,81.1,47.0,43.4,45.3,0,1,M,51.9,495408,1505279,18.8,9.0,9.8,86.0,41.1,89.6,11.5
Colegio_4,Usaquén,4,43.8,43.7,73.1,71.6,49.8,0,1,F,56.4,342004,3238341,5.0,7.2,10.1,93.8,94.4,76.9,17.3
Colegio_24,Chapinero,3,64.5,83.1,50.9,49.8,58.1,1,1,F,61.3,153158,2764676,5.3,7.4,10.3,96.3,83.6,99.4,19.6
Colegio_36,Usaquén,5,48.5,67.5,58.6,59.5,57.8,1,1,M,58.4,342004,3238341,5.0,7.2,10.1,93.8,94.4,99.7,8.2
Colegio_9,Chapinero,2,36.4,74.8,39.0,66.1,48.3,0,1,M,52.9,153158,2764676,5.3,7.4,10.3,96.3,83.6,92.5,16.6
Colegio_16,Antonio Nariño,4,41.1,38.6,35.5,50.6,45.7,1,1,M,42.3,179797,1489362,18.5,9.3,8.2,83.7,26.2,88.4,15.3
Colegio_32,Sumapaz,5,50.2,44.3,32.5,72.8,46.6,0,0,F,49.3,344465,1626165,19.6,7.6,8.7,85.7,34.7,82.7,11.5
Colegio_32,San Cristóbal,1,63.0,43.2,53.3,48.1,58.6,1,1,F,53.3,404902,1665631,20.3,10.8,9.1,86.7,40.2,95.3,19.1
Colegio_27,San Cristóbal,3,37.1,54.3,42.0,59.9,47.9,0,1,M,48.3,404902,1665631,20.3,10.8,9.1,86.7,40.2,92.1,4.0
Colegio_15,Santa Fe,3,55.4,63.5,77.0,68.9,58.0,1,1,F,64.6,339318,1479614,21.0,9.6,9.4,85.8,37.6,79.1,2.2
Colegio_4,San Cristóbal,1,74.6,67.1,48.6,81.8,50.8,1,0,F,64.6,404902,1665631,20.3,10.8,9.1,86.7,40.2,97.8,17.1
Colegio_36,Los Mártires,4,39.1,61.0,60.3,63.8,76.3,0,1,M,60.1,324447,1274484,23.8,8.6,9.0,86.0,27.6,95.6,8.8
Colegio_25,Usme,5,48.6,62.4,49.4,61.6,60.3,1,1,F,56.5,495408,1505279,18.8,9.0,9.8,86.0,41.1,98.7,16.9
Colegio_15,San Cristóbal,4,49.2,72.2,60.5,47.6,59.9,1,1,M,57.9,404902,1665631,20.3,10.8,9.1,86.7,40.2,93.1,17.9
Colegio_12,Suba,4,43.5,55.1,52.5,66.2,66.5,1,1,F,56.8,829007,2455432,8.3,7.4,10.2,87.3,75.0,90.3,1.2
Colegio_7,Santa Fe,3,64.7,49.8,40.0,53.8,54.8,1,1,F,52.6,339318,1479614,21.0,9.6,9.4,85.8,37.6,85.5,17.7
Colegio_36,Chapinero,2,53.7,62.7,44.5,53.5,56.1,1,1,F,54.1,153158,2764676,5.3,7.4,10.3,96.3,83.6,98.3,9.0
Colegio_24,Puente Aranda,3,53.9,61.1,53.9,44.2,54.4,1,1,M,53.5,246116,1732058,14.5,8.9,9.4,88.2,41.2,96.7,10.2
Colegio_6,Bosa,2,72.7,38.4,41.1,56.4,44.2,0,1,F,50.6,748890,1774895,15.5,7.8,9.2,86.0,44.0,76.1,12.5
Colegio_31,Suba,4,58.3,57.0,48.9,58.2,58.3,1,1,F,56.1,829007,2455432,8.3,7.4,10.2,87.3,75.0,75.7,18.5
Colegio_21,Ciudad Bolívar,4,54.1,85.5,65.0,56.5,54.1,1,1,F,63.0,633863,1673046,16.4,8.8,9.0,92.3,36.4,84.4,0.4
Colegio_11,Rafael Uribe Uribe,5,54.2,55.7,50.3,33.6,64.3,1,0,M,51.6,222600,1728859,20.1,7.0,8.9,84.2,37.8,95.3,9.5
Colegio_16,Barrios Unidos,5,45.6,67.6,55.8,44.5,66.9,1,1,M,56.1,246732,2464266,14.4,8.9,10.2,88.7,70.4,99.7,13.8
Colegio_14,Ciudad Bolívar,6,69.5,52.7,52.1,60.3,73.3,1,1,F,61.6,633863,1673046,16.4,8.8,9.0,92.3,36.4,78.8,14.5
Colegio_25,Kennedy,1,49.5,74.8,42.0,44.5,54.7,1,1,F,53.1,1011301,1855181,16.9,8.3,9.3,88.9,49.2,89.9,13.9
Colegio_14,Usme,4,55.3,62.5,38.7,62.9,71.8,1,1,M,58.2,495408,1505279,18.8,9.0,9.8,86.0,41.1,84.5,2.7
Colegio_38,Usaquén,3,30.4,48.0,65.1,28.5,45.5,0,1,F,43.5,342004,3238341,5.0,7.2,10.1,93.8,94.4,99.2,6.0
Colegio_18,Usaquén,4,62.7,66.9,66.8,73.5,62.9,1,1,M,66.6,342004,3238341,5.0,7.2,10.1,93.8,94.4,96.1,7.2
Colegio_14,Sumapaz,3,72.0,77.5,40.2,56.9,58.3,0,1,F,61.0,344465,1626165,19.6,7.6,8.7,85.7,34.7,96.0,16.1
Colegio_24,Sumapaz,6,70.0,62.5,65.5,68.3,34.7,1,0,F,60.2,344465,1626165,19.6,7.6,8.7,85.7,34.7,86.7,5.6
Colegio_8,Ciudad Bolívar,3,42.5,56.2,55.9,71.4,89.7,1,1,F,63.1,633863,1673046,16.4,8.8,9.0,92.3,36.4,85.4,4.2
Colegio_25,Los Mártires,2,62.2,63.5,60.7,62.7,59.6,0,1,F,61.7,324447,1274484,23.8,8.6,9.0,86.0,27.6,81.8,19.1
Colegio_34,Antonio Nariño,4,55.6,58.6,79.4,19.7,54.1,1,1,F,53.5,179797,1489362,18.5,9.3,8.2,83.7,26.2,76.4,0.2
Colegio_28,Puente Aranda,3,47.6,65.7,30.1,64.1,53.9,1,1,F,52.3,246116,1732058,14.5,8.9,9.4,88.2,41.2,96.6,20.0
Colegio_24,Ciudad Bolívar,3,61.3,51.2,49.4,55.1,60.4,0,1,F,55.5,633863,1673046,16.4,8.8,9.0,92.3,36.4,95.3,13.5
Colegio_18,Ciudad Bolívar,4,63.0,43.5,58.6,56.8,79.2,1,1,F,60.2,633863,1673046,16.4,8.8,9.0,92.3,36.4,100.0,16.6
Colegio_34,Antonio Nariño,5,60.4,68.2,65.2,59.1,59.4,0,1,M,62.5,179797,1489362,18.5,9.3,8.2,83.7,26.2,99.9,5.9
Colegio_3,Teusaquillo,2,60.9,81.9,42.0,34.5,69.6,1,0,M,57.8,194327,2990383,5.1,7.0,10.5,94.4,90.1,88.9,0.3
Colegio_12,La Candelaria,4,53.9,60.5,62.9,42.6,54.3,1,1,F,54.8,171142,1311336,23.8,11.6,9.2,84.1,30.3,94.2,14.8
Colegio_36,Tunjuelito,4,74.8,55.6,57.0,19.2,82.0,1,1,F,57.7,270499,1603700,19.6,10.3,9.7,89.3,44.5,98.6,16.7
Colegio_5,Fontibón,6,44.9,90.1,73.1,54.7,39.4,1,0,M,60.4,475856,2414409,10.7,7.7,9.3,88.8,61.6,96.2,14.8
Colegio_19,Usaquén,2,59.8,68.6,48.3,75.3,90.5,0,1,F,68.5,342004,3238341,5.0,7.2,10.1,93.8,94.4,81.2,2.9
Colegio_12,Sumapaz,3,38.9,67.4,63.3,47.9,57.7,1,1,M,55.1,344465,1626165,19.6,7.6,8.7,85.7,34.7,86.3,15.1
Colegio_27,Engativá,4,53.8,58.9,54.7,60.6,48.4,1,1,F,55.3,945826,2815166,9.2,8.6,10.2,91.6,85.3,78.2,15.4
Colegio_17,Sumapaz,1,58.1,49.0,44.6,65.8,51.8,1,1,M,53.9,344465,1626165,19.6,7.6,8.7,85.7,34.7,98.9,13.2
Colegio_28,Antonio Nariño,5,57.1,50.6,46.8,38.7,60.4,1,1,F,50.7,179797,1489362,18.5,9.3,8.2,83.7,26.2,90.2,15.3
Colegio_40,Fontibón,3,63.2,52.7,46.8,58.2,67.7,0,1,F,57.7,475856,2414409,10.7,7.7,9.3,88.8,61.6,80.7,16.9
Colegio_22,Engativá,4,45.4,38.2,53.5,64.6,54.2,1,1,M,51.2,945826,2815166,9.2,8.6,10.2,91.6,85.3,91.8,12.3
Colegio_10,Ciudad Bolívar,3,45.2,52.4,57.4,55.2,54.4,1,1,F,52.9,633863,1673046,16.4,8.8,9.0,92.3,36.4,90.5,1.8
Colegio_6,Fontibón,5,39.8,56.8,48.3,47.7,69.8,1,1,F,52.5,475856,2414409,10.7,7.7,9.3,88.8,61.6,84.0,9.8
Colegio_17,Kennedy,5,45.0,51.6,65.8,61.3,52.2,1,1,F,55.2,1011301,1855181,16.9,8.3,9.3,88.9,49.2,77.8,1.6
Colegio_12,Fontibón,3,46.8,58.8,51.3,43.4,75.4,1,1,F,55.1,475856,2414409,10.7,7.7,9.3,88.8,61.6,91.8,8.2
Colegio_6,Los Mártires,5,44.8,54.1,69.6,72.9,48.0,0,0,F,57.9,324447,1274484,23.8,8.6,9.0,86.0,27.6,88.0,8.1
Colegio_22,La Candelaria,4,38.5,57.0,57.7,54.0,68.1,0,1,F,55.1,171142,1311336,23.8,11.6,9.2,84.1,30.3,94.3,1.3
Colegio_16,Teusaquillo,3,58.9,47.5,56.8,78.7,59.5,0,1,M,60.3,194327,2990383,5.1,7.0,10.5,94.4,90.1,88.0,7.0
Colegio_4,Kennedy,5,51.7,51.2,50.1,65.3,63.7,0,1,F,56.4,1011301,1855181,16.9,8.3,9.3,88.9,49.2,96.3,2.2
Colegio_25,Ciudad Bolívar,3,56.8,55.0,66.1,45.3,89.3,0,0,M,62.5,633863,1673046,16.4,8.8,9.0,92.3,36.4,88.8,16.2
Colegio_33,Sumapaz,3,50.2,46.1,32.2,63.9,41.3,1,1,M,46.7,344465,1626165,19.6,7.6,8.7,85.7,34.7,89.0,19.0
Colegio_1,Bosa,2,80.9,53.9,61.2,49.9,54.0,1,0,F,60.0,748890,1774895,15.5,7.8,9.2,86.0,44.0,96.9,1.4
Colegio_15,Barrios Unidos,5,31.3,47.6,63.8,46.8,47.5,1,1,M,47.4,246732,2464266,14.4,8.9,10.2,88.7,70.4,85.1,19.1
Colegio_17,Engativá,3,47.8,68.0,65.4,50.5,64.2,0,1,M,59.2,945826,2815166,9.2,8.6,10.2,91.6,85.3,78.4,10.5
Colegio_19,Barrios Unidos,3,36.7,52.1,57.2,58.5,60.8,1,1,M,53.1,246732,2464266,14.4,8.9,10.2,88.7,70.4,75.7,6.0
Colegio_19,Santa Fe,6,63.4,61.1,91.1,33.7,43.9,1,0,M,58.7,339318,1479614,21.0,9.6,9.4,85.8,37.6,93.9,1.5
Colegio_20,Usme,5,47.4,48.2,57.0,61.8,41.6,1,0,M,51.2,495408,1505279,18.8,9.0,9.8,86.0,41.1,90.5,10.0
Colegio_1,Rafael Uribe Uribe,2,58.2,52.5,31.4,46.6,62.7,1,0,F,50.3,222600,1728859,20.1,7.0,8.9,84.2,37.8,92.6,15.9
Colegio_23,Sumapaz,4,40.1,53.9,55.0,75.0,60.8,1,1,M,57.0,344465,1626165,19.6,7.6,8.7,85.7,34.7,80.3,14.1
Colegio_16,Rafael Uribe Uribe,2,55.4,40.0,57.5,75.8,35.0,1,1,M,52.7,222600,1728859,20.1,7.0,8.9,84.2,37.8,78.4,1.0
Colegio_24,Sumapaz,2,53.1,35.2,45.5,72.3,63.9,1,1,F,54.0,344465,1626165,19.6,7.6,8.7,85.7,34.7,75.4,1.5
Colegio_20,Teusaquillo,5,48.4,38.7,74.6,69.8,60.6,0,0,M,58.4,194327,2990383,5.1,7.0,10.5,94.4,90.1,83.8,8.1
Colegio_15,Ciudad Bolívar,3,91.5,63.2,51.7,31.1,57.3,1,1,F,59.0,633863,1673046,16.4,8.8,9.0,92.3,36.4,89.7,5.9
Colegio_24,Teusaquillo,3,58.4,61.2,42.6,82.0,54.2,1,1,F,59.7,194327,2990383,5.1,7.0,10.5,94.4,90.1,84.8,4.6
Colegio_37,Antonio Nariño,2,32.5,51.6,57.1,59.5,51.4,0,1,M,50.4,179797,1489362,18.5,9.3,8.2,83.7,26.2,85.9,5.6
Colegio_33,Barrios Unidos,1,81.1,34.4,56.9,76.5,44.7,0,1,F,58.7,246732,2464266,14.4,8.9,10.2,88.7,70.4,97.6,16.1
Colegio_32,Rafael Uribe Uribe,3,52.9,63.9,60.8,86.4,58.3,1,1,M,64.5,222600,1728859,20.1,7.0,8.9,84.2,37.8,83.7,18.6
Colegio_31,La Candelaria,5,41.4,47.9,23.3,58.8,61.4,1,0,F,46.6,171142,1311336,23.8,11.6,9.2,84.1,30.3,87.8,8.1
Colegio_15,Fontibón,2,46.4,58.0,45.1,35.5,24.5,1,0,M,41.9,475856,2414409,10.7,7.7,9.3,88.8,61.6,94.6,18.1
Colegio_1,Suba,4,66.3,58.8,59.6,54.0,46.2,1,1,M,57.0,829007,2455432,8.3,7.4,10.2,87.3,75.0,84.9,6.4
Colegio_12,Puente Aranda,3,67.9,69.6,69.0,65.3,65.6,0,1,M,67.5,246116,1732058,14.5,8.9,9.4,88.2,41.2,90.6,9.5
Colegio_35,Sumapaz,3,60.7,55.3,58.6,53.0,65.9,1,1,M,58.7,344465,1626165,19.6,7.6,8.7,85.7,34.7,96.6,4.5
Colegio_37,Kennedy,6,46.2,10.8,45.4,45.0,45.2,1,1,M,38.5,1011301,1855181,16.9,8.3,9.3,88.9,49.2,98.7,12.8
Colegio_30,Teusaquillo,5,63.3,62.5,53.3,71.8,47.5,1,1,F,59.7,194327,2990383,5.1,7.0,10.5,94.4,90.1,78.7,19.6
Colegio_26,Tunjuelito,5,58.2,44.7,66.5,57.2,48.7,1,1,F,55.1,270499,1603700,19.6,10.3,9.7,89.3,44.5,98.2,12.1
Colegio_11,Teusaquillo,1,57.1,36.6,64.2,52.4,61.5,1,1,F,54.4,194327,2990383,5.1,7.0,10.5,94.4,90.1,87.3,7.2
Colegio_32,Tunjuelito,6,56.0,43.6,63.8,55.9,47.6,0,1,M,53.4,270499,1603700,19.6,10.3,9.7,89.3,44.5,81.5,13.0
Colegio_2,Fontibón,5,52.0,27.7,70.9,55.3,49.8,1,1,F,51.2,475856,2414409,10.7,7.7,9.3,88.8,61.6,86.5,2.5
Colegio_10,Rafael Uribe Uribe,2,56.8,63.8,73.5,66.5,70.0,1,1,M,66.1,222600,1728859,20.1,7.0,8.9,84.2,37.8,99.5,17.8
Colegio_22,Barrios Unidos,3,48.7,41.3,41.4,70.2,49.4,0,1,M,50.2,246732,2464266,14.4,8.9,10.2,88.7,70.4,87.3,10.1
Colegio_9,Ciudad Bolívar,1,62.9,64.5,47.0,66.9,46.5,0,1,F,57.6,633863,1673046,16.4,8.8,9.0,92.3,36.4,83.2,9.0
Colegio_30,Teusaquillo,2,57.8,53.5,70.4,49.8,50.5,1,1,M,56.4,194327,2990383,5.1,7.0,10.5,94.4,90.1,90.8,11.7
Colegio_25,Ciudad Bolívar,5,78.3,52.9,36.4,68.3,69.0,1,1,F,61.0,633863,1673046,16.4,8.8,9.0,92.3,36.4,81.0,12.5
Colegio_21,Antonio Nariño,1,40.7,62.3,66.9,51.5,46.7,1,1,M,53.6,179797,1489362,18.5,9.3,8.2,83.7,26.2,76.9,1.4
Colegio_18,Usaquén,2,70.0,20.9,37.1,60.9,51.5,0,1,M,48.1,342004,3238341,5.0,7.2,10.1,93.8,94.4,78.2,13.7
Colegio_20,Usme,3,44.2,62.9,68.6,58.5,68.1,1,0,F,60.5,495408,1505279,18.8,9.0,9.8,86.0,41.1,78.2,4.8
Colegio_40,San Cristóbal,2,48.1,57.2,56.4,43.3,46.8,1,0,M,50.4,404902,1665631,20.3,10.8,9.1,86.7,40.2,78.8,14.3
Colegio_16,Sumapaz,5,53.8,67.3,57.0,58.7,59.2,0,1,M,59.2,344465,1626165,19.6,7.6,8.7,85.7,34.7,78.5,16.5
Colegio_39,Chapinero,3,73.7,49.8,59.6,58.6,50.6,1,1,F,58.5,153158,2764676,5.3,7.4,10.3,96.3,83.6,91.0,16.1
Colegio_35,La Candelaria,4,44.5,59.4,43.9,67.8,47.5,1,1,F,52.6,171142,1311336,23.8,11.6,9.2,84.1,30.3,79.5,11.1
Colegio_29,Suba,4,67.5,45.4,71.0,78.6,41.6,1,1,M,60.8,829007,2455432,8.3,7.4,10.2,87.3,75.0,83.6,10.4
Colegio_30,Santa Fe,1,66.9,62.5,69.3,84.0,37.5,1,1,F,64.0,339318,1479614,21.0,9.6,9.4,85.8,37.6,97.4,2.9
Colegio_3,Antonio Nariño,3,69.6,64.3,31.2,52.7,59.6,1,0,M,55.5,179797,1489362,18.5,9.3,8.2,83.7,26.2,86.8,15.5
Colegio_32,Fontibón,2,47.6,23.1,77.7,40.9,65.5,1,0,M,51.0,475856,2414409,10.7,7.7,9.3,88.8,61.6,91.7,5.4
Colegio_14,San Cristóbal,2,65.0,59.0,43.9,59.9,22.5,1,1,M,50.0,404902,1665631,20.3,10.8,9.1,86.7,40.2,79.3,9.9
Colegio_26,Teusaquillo,3,55.3,43.3,38.5,53.3,78.0,0,1,F,53.7,194327,2990383,5.1,7.0,10.5,94.4,90.1,79.8,5.7
Colegio_5,Los Mártires,1,60.8,52.5,40.1,53.4,52.5,0,1,M,51.9,324447,1274484,23.8,8.6,9.0,86.0,27.6,76.0,2.7
Colegio_28,Rafael Uribe Uribe,4,50.0,52.0,63.5,56.9,60.8,0,1,F,56.6,222600,1728859,20.1,7.0,8.9,84.2,37.8,79.2,12.6
Colegio_8,Sumapaz,2,31.7,57.5,15.2,55.4,53.8,1,1,F,42.7,344465,1626165,19.6,7.6,8.7,85.7,34.7,82.0,1.1
Colegio_33,Sumapaz,1,57.4,60.5,48.7,44.0,61.7,1,1,M,54.5,344465,1626165,19.6,7.6,8.7,85.7,34.7,79.4,15.0
Colegio_36,Teusaquillo,3,64.5,51.8,47.9,48.2,39.6,0,0,F,50.4,194327,2990383,5.1,7.0,10.5,94.4,90.1,77.2,6.4
Colegio_13,Usaquén,3,66.1,47.8,49.8,75.0,48.1,0,1,F,57.4,342004,3238341,5.0,7.2,10.1,93.8,94.4,78.0,0.0
Colegio_20,Teusaquillo,6,59.4,47.2,37.5,52.8,46.2,0,1,F,48.6,194327,2990383,5.1,7.0,10.5,94.4,90.1,86.5,10.2
Colegio_18,Barrios Unidos,5,50.7,37.6,54.5,53.5,45.1,1,0,M,48.3,246732,2464266,14.4,8.9,10.2,88.7,70.4,80.2,0.9
Colegio_20,Kennedy,2,46.0,32.5,55.8,80.9,54.1,1,1,M,53.9,1011301,1855181,16.9,8.3,9.3,88.9,49.2,84.1,5.5
Colegio_33,San Cristóbal,3,64.9,70.0,49.2,53.4,70.1,1,0,M,61.5,404902,1665631,20.3,10.8,9.1,86.7,40.2,87.6,14.1
Colegio_21,Barrios Unidos,3,65.9,37.8,68.2,55.5,69.9,1,0,M,59.5,246732,2464266,14.4,8.9,10.2,88.7,70.4,92.3,1.3
Colegio_24,Barrios Unidos,2,54.5,74.1,43.1,42.3,55.6,1,1,M,53.9,246732,2464266,14.4,8.9,10.2,88.7,70.4,76.0,16.8
Colegio_28,Sumapaz,4,58.1,41.8,52.2,74.6,45.8,1,1,M,54.5,344465,1626165,19.6,7.6,8.7,85.7,34.7,95.0,0.1
Colegio_5,Puente Aranda,4,57.3,63.1,59.6,75.0,58.2,1,0,M,62.6,246116,1732058,14.5,8.9,9.4,88.2,41.2,90.7,4.9
Colegio_30,Puente Aranda,2,49.1,69.2,35.8,40.3,55.6,1,1,M,50.0,246116,1732058,14.5,8.9,9.4,88.2,41.2,77.0,14.8
Colegio_24,Chapinero,4,65.6,50.1,29.3,55.7,46.9,0,1,M,49.5,153158,2764676,5.3,7.4,10.3,96.3,83.6,96.8,6.3
Colegio_39,Tunjuelito,4,72.6,54.0,57.5,58.8,51.7,1,1,F,58.9,270499,1603700,19.6,10.3,9.7,89.3,44.5,98.0,2.0
Colegio_14,Rafael Uribe Uribe,1,35.0,57.5,65.5,52.7,56.0,1,1,M,53.3,222600,1728859,20.1,7.0,8.9,84.2,37.8,76.5,7.2
Colegio_36,Chapinero,1,61.3,57.0,76.4,68.0,60.5,1,1,M,64.6,153158,2764676,5.3,7.4,10.3,96.3,83.6,81.9,5.4
Colegio_36,Chapinero,3,60.0,46.0,54.1,54.3,37.6,1,1,F,50.4,153158,2764676,5.3,7.4,10.3,96.3,83.6,95.2,16.9
Colegio_26,La Candelaria,1,53.1,36.1,55.4,59.8,48.7,1,1,M,50.6,171142,1311336,23.8,11.6,9.2,84.1,30.3,93.7,6.3
Colegio_13,Suba,4,43.3,58.1,46.3,60.9,88.6,1,1,F,59.4,829007,2455432,8.3,7.4,10.2,87.3,75.0,79.6,15.8
Colegio_40,Bosa,2,76.0,59.8,59.1,57.0,52.4,1,1,M,60.8,748890,1774895,15.5,7.8,9.2,86.0,44.0,80.2,17.8
Colegio_21,Bosa,4,52.9,46.8,39.8,33.3,55.8,1,1,M,45.7,748890,1774895,15.5,7.8,9.2,86.0,44.0,84.3,8.7
Colegio_26,Ciudad Bolívar,3,75.9,69.4,61.9,47.2,54.0,1,1,F,61.7,633863,1673046,16.4,8.8,9.0,92.3,36.4,87.1,18.2
Colegio_34,Chapinero,4,65.6,48.3,53.6,44.0,67.2,1,0,F,55.8,153158,2764676,5.3,7.4,10.3,96.3,83.6,90.5,7.5
Colegio_40,Suba,2,55.7,64.2,45.1,58.2,45.3,1,1,M,53.7,829007,2455432,8.3,7.4,10.2,87.3,75.0,84.2,19.3
Colegio_14,Sumapaz,4,52.9,63.9,60.6,53.8,41.9,1,1,F,54.6,344465,1626165,19.6,7.6,8.7,85.7,34.7,86.6,1.8
